序號,ns1:name3,ns1:SP_DESC,ns1:EP_DESC,ns1:CITY,ns1:TOWN,ns1:MGR_MCH,ns1:B_LENGTH,緯度,ns1:coordinates
bike351,大勇路(西側),五福四路,駁二藝術特區(大勇路底),高雄市,鹽埕區,高雄市政府,450,22.62357991,120.2836892
bike352,大勇路(東側),五福四路,駁二藝術特區(大勇路底),高雄市,鹽埕區,高雄市政府,450,22.62349882,120.283863
bike353,駁二大義車站,,,高雄市,,高雄市政府文化局,210,22.618524,120.28421
bike354,七賢路(五福路-河西路),五福路,河西路,高雄市,鹽埕區,高雄市政府,1600,22.62994539,120.2859818
bike355,旗津風車公園-第二港口(3),風車公園,第二港口,高雄市,旗津區,高雄市政府,9500,22.58605321,120.2861404
bike356,河華路,台1線,通校路,高雄市,岡山區,工務局養工,1500,22.799723,120.286689
bike357,七賢路(河東路-民族二路),河東路,民族二路,高雄市,前金區,高雄市政府,4526,22.63034015,120.2870899
bike358,中都願景橋,同盟三路,河西一路,高雄市,三民區,高雄市政府,152,22.65079006,120.2879009
bike359,後勁溪沿岸自行車道系統,德惠橋,高雄大學,高雄市,楠梓區,高雄市政府,7400,22.72332314,120.288895
bike360,海富路(西側),海功路,實踐路,高雄市,左營區,,,22.6904482,120.2891672
bike361,海富路(東側),海功路,實踐路,高雄市,左營區,,,22.69042345,120.2892369
bike362,實踐路、孔營路(北側),海富路,蓮潭路,高雄市,左營區,,,22.69049769,120.289253
bike363,實踐路、孔營路(南側),海富路,蓮潭路,高雄市,左營區,,,22.69027003,120.2892852
bike364,愛河沿岸自行車道,天祥二路,真愛碼頭,高雄市,三民區+前金區+鹽埕區,工務局養工處,7400,22.620772,120.289511
bike365,民生一、二路自行車道(北側),河東路,民族二路,高雄市,前金區+新興區,高雄市政府,2400,22.6238801,120.2904041
bike366,民生一、二路自行車道(南側),民族二路,河東路,高雄市,前金區+新興區,高雄市政府,2400,22.62337429,120.2906134
bike367,後昌路、後昌新路、藍昌路(西側),援中路,加昌路,高雄市,楠梓區,,,22.72522198,120.2914256
bike368,加昌路(北側),後昌路,軍校路,高雄市,楠梓區,養工處,250,22.71326223,120.2915061
bike369,九如三路,中華三路,九如橋前,高雄市,三民區,養工處,1400,22.642058,120.2915114
bike370,加昌路(南側),後昌路,軍校路,高雄市,楠梓區,養工處,250,22.7130148,120.2915597
bike371,後昌路、後昌新路、藍昌路(東側),援中路,加昌路,高雄市,楠梓區,,,22.72525662,120.2915597
bike372,西臨港線－15號碼頭至成功凱旋路口自行車景觀廊道(成功二路旁),高雄港15號碼頭,成功二路凱旋路四口,高雄市,苓雅區+前鎮區,工務局養工處,3050,22.614032,120.291684
bike373,四維路自行車道(南側),四維四路/海邊路口,四維二路/光華一路口,高雄市,苓雅區,高雄市政府,2650,22.61461792,120.2921345
bike374,四維路自行車道(北側),四維二路/光華一路口,四維四路/海邊路口,高雄市,苓雅區,高雄市政府,2650,22.61486209,120.2922609
bike375,同盟路(南側),中華路,博愛路,高雄市,三民區,高雄市政府,770,22.64930406,120.2923322
bike376,軍校路(西側),加昌路,緯六路,高雄市,左營、楠梓區,高雄市政府,1780,22.697397,120.292407
bike377,世運大道(南側),左楠路,軍校路,高雄市,左營、楠梓區,高雄市政府,1125,22.700467,120.292507
bike378,軍校路(東側),加昌路,緯六路,高雄市,左營區,高雄市政府,1780,22.697407,120.292525
bike379,世運大道(北側),軍校路,左楠路,高雄市,左營、楠梓區,高雄市政府,1125,22.700848,120.292674
bike380,中華路(西側),建國路,中正路,高雄市,三民區+前金區,養工處,800,22.63675839,120.2928257
bike381,中華路(東側),建國路,中正路,高雄市,三民區+前金區,前金區,800,22.63685741,120.2930939
bike382,旗津風車公園-第二港口(1),風車公園,第二港口,高雄市,旗津區,高雄市政府,9500,22.57739573,120.2933906
bike383,自強路,六合路,民生一路,高雄市,前金區,工務局養工處,1120,22.630182,120.293452
bike384,自強二路(東側),民生二路,中正四路,高雄市,前金區,高雄市政府,360,22.62861507,120.2941621
bike385,蓮池潭環潭自行車道,null,null,高雄市,左營區,高雄市政府,3510,22.679473,120.296775
bike386,溪西路(阿公店路),岡山路(阿公店橋),中華路(中華橋),高雄市,岡山區,工務局養工處,1670,22.785015,120.297021
bike387,至聖路,龍德路,博愛2路,高雄市,鼓山區,高雄市政府,289,22.659631,120.29716
bike388,龍德路,明誠三路,神農路,高雄市,鼓山區,高雄市政府工務局養護工程處,347,22.661086,120.297225
bike389,左營區翠華自行車道橋（跨越崇德路、翠華路）,05綠07、公務人員人力發展中心,洲仔濕地,高雄市,左營區,高雄市政府,450,22.68035,120.297914
bike390,新光園道,成功路,臨港線,高雄市,前鎮區,高雄市政府,200,22.61044044,120.2988002
bike391,明潭路(南側),翠華路,環潭路,高雄市,左營區,養工處,300,22.68962662,120.2999228
bike392,南屏路,明誠三路,神農路,高雄市,鼓山區,高雄市政府工務局養護工程處,337,22.661096,120.300046
bike393,明潭路(北側),翠華路,環潭路,高雄市,左營區,養工處,300,22.68973551,120.3001642
bike394,中央公園自行車道,中山一路,民生二路,高雄市,前金區,高雄市政府,600,22.62313212,120.3009367
bike395,左楠路(西側),後勁站R20,中海路R17,高雄市,楠梓區,養工處,3500,22.70153401,120.3025299
bike396,左楠路(東側),後勁站R20,中海路R17,高雄市,楠梓區,養工處,3500,22.70109852,120.3028035
bike397,神農路,龍勝路,博愛三路,高雄市,鼓山區,高雄市政府工務局養護工程處,709,22.658057,120.302804
bike398,翠華路(西側),左營大路,明潭路,高雄市,左營區,,,22.69872305,120.302825
bike399,明誠三路(北側),博愛路,中華路,高雄市,鼓山區,高雄市政府,1046,22.661264,120.302825
bike400,明誠三路(南側),博愛路,中華路,高雄市,鼓山區,高雄市政府,1046,22.661057,120.302889
bike401,翠華路(東側),左營大路,明潭路,高雄市,左營區,,,22.69905958,120.3029323
bike402,新莊一路(南側),博愛三路,新莊一路底北側,高雄市,左營區,,,22.67011527,120.3031683
bike403,十全一路自行車道(南側),山東街,博愛一路,高雄市,三民區,高雄市政府,1200,22.64536233,120.303275
bike404,曾子路(西側),高鐵路,博愛路,高雄市,左營區,,,22.68265789,120.3032863
bike405,十全一路自行車道(北側),博愛一路,山東街,高雄市,三民區,高雄市政府,1200,22.64558713,120.3032974
bike406,明誠二路(南側),博愛二路,河堤路,高雄市,左營區,高雄市政府,900,22.661037,120.303322
bike407,明誠二路(北側),河堤路,博愛二路,高雄市,左營區,高雄市政府,900,22.661308,120.303325
bike408,曾子路(東側),高鐵路,博愛路,高雄市,左營區,,,22.68274699,120.303458
bike409,新庄仔路,博愛三路,民族一路,高雄市,左營區,養工處,2868,22.67031,120.303468
bike410,裕誠路自行車道(南側),博愛二路,河堤路,高雄市,左營區,高雄市政府,875,22.66571344,120.3034969
bike411,裕誠路自行車道(北側),河堤路,博愛二路,高雄市,左營區,高雄市政府,875,22.66589399,120.3035019
bike412,綠色路網單車路線,甲圍公園,鐵道公園,高雄市,橋頭區,高雄市政府,4700,22.765881,120.303506
bike413,新莊一路(北側),博愛三路,新莊一路底北側,高雄市,左營區,,,22.67055087,120.3035331
bike414,同盟路(北側),中華路,博愛路,高雄市,三民區,高雄市政府,1250,22.65298734,120.3035438
bike415,博愛三路(西側),文自路(南側),大中二路,高雄市,左營區,高雄市政府,1115,22.672603,120.304223
bike416,博愛一、二、三路(西側),文自路(南側),熱河一街,高雄市,三民區+鼓山區+左營區,高雄市政府,3620,22.672602,120.304223
bike417,博愛一、二、三路(東側),熱河一街,文自路(南側),高雄市,三民區+鼓山區+左營區,高雄市政府,3620,22.672464,120.304582
bike418,博愛三路(東側),文自路(南側),大中二路,高雄市,左營區,高雄市政府,1115,22.672463,120.304582
bike419,美麗島大道自行車道(西側),新光路,建國二、三路,高雄市,前金區,工務局養工處,3375,22.612466,120.304778
bike420,新光路(北側),中山路,成功路,高雄市,苓雅區,工務局養工處,600,22.612466,120.304874
bike421,時代大道(北側),成功路,中山路,高雄市,前鎮區,,,22.59570713,120.3049707
bike422,新光路(南側),中山路,成功路,高雄市,苓雅區,工務局養工處,600,22.611812,120.305035
bike423,迎賓大道(西側),新光路,鎮海路,高雄市,苓雅區+前鎮區,養工處,2400,22.61195083,120.305078
bike424,時代大道(南側),成功路,中山路,高雄市,前鎮區,,,22.59540998,120.305078
bike425,美麗島大道自行車道(東側),建國二、三路,新光路,高雄市,前金區,工務局養工處,3375,22.612585,120.305336
bike426,迎賓大道(東側),新光路,鎮海路,高雄市,苓雅區+前鎮區,養工處,2400,22.61207959,120.3054857
bike427,中華五路,五號船渠,五號船渠,高雄市,前鎮區,高雄市政府,800,22.60008942,120.30736
bike428,擴建路,前鎮街,大華一路,高雄市,前鎮區,高雄市政府,1200,22.59257142,120.3079792
bike429,高鐵路(北側),重信路,曾子路,高雄市,左營區,,,22.68658775,120.308125
bike430,高鐵路(南側),重信路,曾子路,高雄市,左營區,,,22.68624129,120.3081894
bike431,民權路自行車道(西側),民權二路/中山三路口,民生一路/民權一路口,高雄市,苓雅區,高雄市政府,2850,22.60518254,120.3086683
bike432,勞工公園自行車道,復興三路,民權二路,高雄市,前鎮區,高雄市政府,750,22.60538221,120.3088502
bike433,仕隆路(西側),成功南路,隆豐路,高雄市,橋頭區,工務局養工處,400,22.751651,120.309011
bike434,民權路自行車道(東側),民生一路/民權一路口,民權二路/中山三路口,高雄市,苓雅區,高雄市政府,2850,22.60481016,120.3090922
bike435,仕隆路(東側),隆豐路,成功南路,高雄市,橋頭區,工務局養工處,400,22.751525,120.309151
bike436,興仁公園(四週),,,高雄市,前鎮區,,,22.58738645,120.310024
bike437,博愛四路(西側),華夏路,大中二路,高雄市,左營區,高雄市政府,3000,22.68124234,120.310096
bike438,博愛四路(東側),大中二路,華夏路,高雄市,左營區,高雄市政府,3000,22.68100849,120.3103927
bike439,五號船渠自行車道,中山三路,成功二路,高雄市,前鎮區,高雄市政府,2400,22.60181514,120.3114633
bike440,明誠一路(北側),鼎山街,河堤路,高雄市,左營區,高雄市政府,900,22.66049221,120.3119445
bike441,明誠一路(南側),鼎山街,河堤路,高雄市,左營區,高雄市政府,900,22.6602348,120.3120089
bike442,青年路(北側),民權路,廣州街,高雄市,苓雅區,工務局養工處,480,22.623657,120.312288
bike443,青年路(南側),民權路,廣州街,高雄市,苓雅區,工務局養工處,480,22.623132,120.312513
bike444,前鎮中山四路跨越凱旋四路自行車橋工程,中山四路捷運凱旋站1號出口,凱旋四路及翠村街口,高雄市,前鎮區,高雄市政府,360,22.59618259,120.3146267
bike445,光華一路、民族二路(東側),五福一路,中正二、三路,高雄市,苓雅區,高雄市政府,295,22.63028027,120.31551
bike446,翠亨南、北路自行車道,翠村街,平和東路,高雄市,小港區+前鎮區,高雄市政府,3650,22.59479373,120.3166301
bike447,一心路(光華二路-凱旋三路),光華二路,凱旋三路,高雄市,前鎮區,新工處,1800,22.60861206,120.3167419
bike448,都會公園自行車道,都會公園,都會公園,高雄市,楠梓區,營建署,4800,22.73174417,120.3167898
bike449,前鎮河自行車道,翠亨橋(翠亨北路),前鎮橋(新生路),高雄市,前鎮區,高雄市政府,2400,22.59354356,120.3171835
bike450,和平一路(西側),中正二路,六合路,高雄市,新興區+苓雅區,高雄市政府,150,22.63196277,120.3172027
bike451,和平一路(東側),中正二路,六合路,高雄市,新興區+苓雅區,高雄市政府,150,22.63198984,120.3174498
bike452,康定路(樹德路-鎮洋路),樹德路,鎮洋路,高雄市,前鎮區,養工處,450,22.58903081,120.3174591
bike453,華夏路(南側),博愛四路,民族一路,高雄市,左營區,,,22.68882484,120.3180385
bike454,華夏路(北側),博愛四路,民族一路,高雄市,左營區,,,22.68908221,120.3181028
bike455,鎮中路(北側),中山四路,康定路,高雄市,前鎮區,,,22.5864751,120.3194493
bike456,康定路(鎮中路-樹德路),鎮中路,樹德路,高雄市,前鎮區,養工處,640,22.58648006,120.3194547
bike457,鎮中路(南側),中山四路,康定路,高雄市,前鎮區,,,22.58641072,120.3194869
bike458,康定路(鎮中路-新衙路),鎮中路,新衙路,高雄市,前鎮區,養工處,350,22.58632652,120.319562
bike459,德民路景觀步道(北側),高楠公路,德民橋,高雄市,楠梓區,高雄市政府,600,22.733361,120.319712
bike460,德民路景觀步道(南側),高楠公路,德民橋,高雄市,楠梓區,高雄市政府,600,22.732807,120.319841
bike461,(仁武)雙埤生態廊道自行車系統-1,大中一路,大中一路,高雄市,仁武區,養工處,9700,22.676768,120.322673
bike462,檨仔林埤濕地公園,鼎金後路,鼎力路423巷,高雄市,三民區,高雄市政府工務局養護工程處,500,22.671073,120.3245
bike463,高雄市清豐社區自行車道-土庫路,清豐六路,清豐二路,高雄市,楠梓區,高雄市政府,1200,22.74625313,120.3247695
bike464,三多路(武營路-凱旋三路),武營路,凱旋三路,高雄市,前鎮區,養工處,2600,22.62073186,120.3253097
bike465,高雄市清豐社區自行車道-卓越路(北側),芎林路,國道一號西側道路,高雄市,楠梓區,高雄市政府,800,22.75181718,120.3261241
bike466,高雄市清豐社區自行車道-卓越路(南側),芎林路,國道一號西側道路,高雄市,楠梓區,高雄市政府,800,22.75145606,120.3261331
bike467,金獅湖風景區內環湖步道,保安宮廣場以南,灣亭27停車場,高雄市,三民區,高雄市政府,2380,22.67002459,120.3272721
bike468,金福路(草衙二路-東亞路),草衙二路,東亞路,高雄市,前鎮區,交通局,720,22.5715612,120.328548
bike469,高雄市清豐社區自行車道-寶溪北街,創新路,芎蕉五街,高雄市,楠梓區,高雄市政府,350,22.74661099,120.3306898
bike470,高雄市清豐社區自行車道-創新路(西側),芎林路,土庫三路,高雄市,楠梓區,高雄市政府,1000,22.74891838,120.3314389
bike471,高雄市清豐社區自行車道-創新路(東側),芎林路,土庫三路,高雄市,楠梓區,高雄市政府,1000,22.74882129,120.3317116
bike472,輔仁路(西側),中正一路,建國一路,高雄市,苓雅區,高雄市政府,505,22.62824988,120.3322994
bike473,輔仁路(東側),中正一路,建國一路,高雄市,苓雅區,高雄市政府,505,22.62818724,120.332484
bike474,中安路(中山四路-明鳳七街),中山四路,明鳳七街,高雄市,前鎮區,交通局,620,22.58300819,120.3346555
bike475,鳳南路(南側),五甲二路,保泰路,高雄市,鳳山區,養護工程處,480,22.59900676,120.3371678
bike476,鳳南路(北側),五甲二路,保泰路,高雄市,鳳山區,養護工程處,408,22.59908866,120.337296
bike477,翠亨南路(東側),和平東路,小港路,高雄市,小港區,,,22.56947545,120.337801
bike478,101年度鳳山區公5運動公園景觀再造工程-新強路側,輜汽路,新甲國小,高雄市,鳳山區,養工處,259,22.616654,120.33879
bike479,101年度鳳山區公5運動公園景觀再造工程-輜汽路側,大明路,新強路,高雄市,鳳山區,養工處,175,22.61665951,120.3387933
bike480,101年度鳳山區公5運動公園景觀再造工程-新甲國小側,大明路,新強路,高雄市,鳳山區,養工處,180,22.6139912,120.339199
bike481,小港路(北側),翠亨南路,大業北路,高雄市,小港區,養工處,400,22.56544318,120.3412879
bike482,小港路(南側),翠亨南路,大業北路,高雄市,小港區,養工處,400,22.56532429,120.3413522
bike483,中正一、二、三、四路沿線自行車道(北側),河東路,建軍路,高雄市,苓雅區+新興區+前金區,高雄市政府,5600,22.62460385,120.3419037
bike484,中正一、二、三、四路沿線自行車道(南側),建軍路,河東路,高雄市,苓雅區+新興區+前金區,高雄市政府,5600,22.62484876,120.3423109
bike485,大業北路自行車道(西側),中山四路,中鋼路,高雄市,小港區,高雄市政府,1875,22.56939597,120.3429662
bike486,(仁武)雙埤生態廊道自行車系統-3,八德北路,八德西路,高雄市,仁武區,養工處,1800,22.685974,120.342994
bike487,(仁武)雙埤生態廊道自行車系統-2,八德南路,八德一路,高雄市,仁武區,養工處,2700,22.67158,120.34426
bike488,高雄公園自行車道,中山四路,大業北路,高雄市,小港區,高雄市政府,1000,22.567606,120.344742
bike489,大業北路自行車道(東側),中鋼路,中山四路,高雄市,小港區,高雄市政府,1875,22.56740984,120.3448951
bike490,永義街,民益路,忠德街,高雄市,小港區,高雄市政府,150,22.56751573,120.346734
bike491,漢民路自行車道,,,高雄市,小港區,,1200,22.56644893,120.3520467
bike492,小港沿海路段,沿海路與漢民路口,經沿海二路及三路直至獅子公園,高雄市,小港區,高雄市政府工務局養護工程處道路工程科,7400,22.56620605,120.3523493
bike493,光華路,復興路,安寧街,高雄市,鳳山區,高雄市政府,250,22.621696,120.3528
bike494,鳳山溪(民安橋-國道1號高速公路),南華路,公園三街,高雄市,鳳山區,工務局養工,1470,22.590866,120.352934
bike495,安寧街,光華路,立志街,高雄市,鳳山區,高雄市政府,300,22.620448,120.354602
bike496,體育路,立志街,中山路,高雄市,鳳山區,養工處,174,22.623162,120.355783
bike497,鳳山溪(國泰路-博愛路),國泰路,博愛路,高雄市,鳳山區,高雄市政府工務局養護工程處,2238,22.614718,120.355812
bike498,立志街,安寧街,體育路,高雄市,鳳山區,高雄市政府,120,22.622389,120.356641
bike499,雙慈街,中山路,三民路,高雄市,鳳山區,養工處,98,22.624212,120.35714
bike500,三民路,光遠路,中山路,高雄市,鳳山區,高雄市政府,1000,22.62603376,120.3581107
bike501,宏平路(廠邊三路-松金街),廠邊三路,松金街,高雄市,小港區,養工處,2038,22.5698522,120.3583683
bike502,宏平路(中山四路-大鵬路),中山四路,大鵬路,高雄市,小港區,高雄市政府,1800,22.56987001,120.3583773
bike503,鳳山溪-西側(中興橋-民安橋),王生明路85巷,南華路,高雄市,鳳山區,工務局養工,4235,22.618789,120.361485
bike504,鳳山溪-東側(中興橋-民安橋),王生明路85巷,南華路,高雄市,鳳山區,工務局養工,4235,22.61871,120.361683
bike505,鳳山溪(鳳山橋-中興橋),中山路,王生明路85巷,高雄市,鳳山區,工務局養工,245,22.620656,120.362654
bike506,學府路,沿海路,山明路,高雄市,小港區,高雄市政府,1000,22.56556281,120.3638909
bike507,鳳山溪-西側(博愛橋-鳳山橋),博愛路,中山路,高雄市,鳳山區,工務局養工,1295,22.631149,120.365986
bike508,鳳山溪-東側(博愛橋-鳳山橋),博愛路,中山路,高雄市,鳳山區,工務局養工,1295,22.631213,120.366275
bike509,北林路(博學路-東林路),博學路,東林路,高雄市,小港區,交通局,1880,22.55761392,120.3700126
bike510,山明路(小港醫院-博學路),小港醫院,博學路,高雄市,小港區,高雄市政府,1960,22.56569087,120.3706956
bike511,博學路,山明路,北林路,高雄市,小港區,,,22.56567105,120.37076
bike512,高松路-高坪北路,營口路,高坪23路,高雄市,小港區,,,22.5727646,120.3711247
bike513,營口路,山明路,高松路,高雄市,小港區,,,22.57274478,120.3711891
bike514,熱帶植物園自行車道,,,高雄市,小港區,,1460,22.56468587,120.3859285
bike515,大寮自行車道,大寮捷運站北側的鄉道,往東銜接至翁園路水圳旁的綠帶，沿鄉道往北至溪寮國小處銜接三隆社區自行車道，最後接到大寮捷運站自行車道南端,高雄市,大寮區,高雄市政府工務局養護工程處、高雄市大寮區公所,13700,22.625875,120.386639
bike516,高坪22路,高坪23路,高坪15路,高雄市,小港區,,,22.55859696,120.3887522
bike517,高坪18路,高坪23路,高坪15路,高雄市,小港區,,,22.55356362,120.3898573
bike518,高坪23路,大平路,高坪18路,高雄市,小港區,,,22.55342491,120.3898788
bike519,高坪15路,高坪17路,高坪18路,高雄市,小港區,,,22.5569126,120.3935266
bike520,台29,旗山地景橋,台29與義和路交叉口,高雄市,大寮區、大樹區、旗山區,高雄市政府工務局養護工程處、高雄市大寮區公所,32900,22.77126,120.449269
bike521,茄萣海岸復育及景觀改善工程-茄萣海堤,濱海路二段,濱海路三段,高雄市,茄萣區,水利局,5450,22.912141,120.177056
bike522,蚵仔寮漁港周邊自行車道-永安區,,,高雄市,永安區,,,22.80029173,120.2316791
bike523,彌陀南寮漁港、漯底山自行車道,南寮漁港,漯底山,高雄市,彌陀區,高雄市政府養護工程處,10000,22.76391457,120.2345467
bike524,通港路,省道台17線,中正二街,高雄市,梓官區,工務局養工處,1180,22.727186,120.260103
bike525,海岸路自行車道,,,高雄市,旗津區,,,22.6148102,120.2670157
bike526,蚵仔寮漁港周邊自行車道-岡山區(二),,,高雄市,岡山區,,,22.7671106,120.2676158
bike527,蚵仔寮漁港周邊自行車道-梓官區,,,高雄市,梓官區,,,22.73268933,120.2696413
bike528,旗津踩風大道自行車道,,,高雄市,,,,22.60059898,120.2763391
bike529,旗津踩風大道自行車道,,,高雄市,,,,22.59574102,120.2795678
bike530,旗津踩風大道自行車道,,,高雄市,,,,22.59423686,120.2807429
bike531,旗津踩風大道自行車道,,,高雄市,,,,22.59291718,120.281888
bike532,旗津踩風大道自行車道,,,高雄市,,,,22.59097905,120.2823216
bike533,旗津踩風大道自行車道,,,高雄市,,,,22.58626579,120.2858748
bike534,蚵仔寮漁港周邊自行車道-橋頭區,高捷青埔站,三山國王廟,高雄市,橋頭區,高雄市政府,4200,22.752828,120.292918
bike535,蚵仔寮漁港周邊自行車道-岡山區(一),,,高雄市,岡山區,,,22.76868798,120.2946505
bike536,蚵仔寮漁港周邊自行車道-楠梓區,,,高雄市,楠梓區,,,22.70799247,120.3019708
bike537,蚵仔寮漁港周邊自行車道-燕巢區,,,高雄市,燕巢區,,,22.75719294,120.3113865
bike538,旗津踩風大道自行車道,,,高雄市,,,,22.5541843,120.314615
bike539,大崗山登山單車路線,建國路生態園區入口,大崗山生態園區,高雄市,阿蓮區,阿蓮區公所,5000,22.85326,120.332094
bike540,澄清湖外環湖路線,澄清湖大門口,鳥松濕地公園,高雄市,鳥松區,工務局養護工程處、觀光局,8500,22.659756,120.339297
bike541,澄清湖內環湖路線,澄清湖大門口,鳥松濕地公園,高雄市,鳥松區,工務局養護工程處、自來水公司第七區管理處,7500,22.651937,120.348979
bike542,復興街,立志街,光華路,高雄市,鳳山區,養工處,267,22.623929,120.354474
bike543,105年度鳳山區鳳山溪藍帶自行車道優質化工程,,,高雄市,,高雄市政府工務局養護工程處,2200,22.61472891,120.3558898
bike544,阿公店環水庫自行車道,工程路1號,工程路1號,高雄市,岡山區,工務局養工,8000,22.800501,120.359751
bike545,鳳山溪線,博愛路,鎮中路,高雄市,鳳山區,養工處,125730,22.631087,120.365304
bike546,觀音湖,觀音湖鹽埕巷入口,觀音湖仁安三巷入口,高雄市,仁武區,高雄市政府觀光局,1079,22.71214388,120.3691721
bike547,月世界風景特定區,月世界解說中心,月世界解說中心,高雄市,田寮區,高雄市政府觀光局,2320,22.88942043,120.3893209
bike548,竹寮自然生態園區,竹寮自然生態園區入口,竹寮自然生態園區停車場,高雄市,大樹區,高雄市政府財政局,300,22.664492,120.424018
bike549,高屏溪(台29大樹九曲堂至旗山)自行車道串連及改善工程,,,高雄市,,高雄市政府,38640,22.66251192,120.4262924
bike550,舊鐵橋人工濕地園區,五孔水門觀賞平台,園區停車場,高雄市,大樹區,高雄市政府水利局,3000,22.65393785,120.4263568
bike551,竹寮路,竹寮取水站,竹寮酒廠,高雄市,大樹區,高雄市政府養工處,415,22.66847188,120.4264426
bike552,大樹竹寮取水站內自行車道,台29線口,竹寮路口,高雄市,大樹區,自來水公司,170,22.66645983,120.4272637
bike553,高屏溪自行車道,斜張橋,林園紅樹林生態區,高雄市,大樹區、大寮區、林園區,高雄市政府工務局養護工程處、第七河川局,17800,22.619581,120.42965
bike554,中正一路,攔河堰管理中心旁,台22與台29交叉口,高雄市,大樹區,高雄市政府養工處,128,22.687667,120.43509
bike555,低水護岸自行車道,,,高雄市,,,,22.68894515,120.4360432
bike556,106年度田寮及燕巢區既有自行車路網延伸工程,仁愛路與中寮一路,統領路,高雄市,田寮區,高雄市政府養工處,31,22.847541,120.448409
bike557,旗山老街之旅,旗山老街,旗尾山第一登山口,高雄市,旗山區,觀光局,4700,22.88479463,120.4856229
bike558,靛線-宗教之旅,民權路與福美路路口,義民巷,高雄市,美濃區,觀光局,8600,22.88119944,120.4905927
bike559,旗山登山觀景之旅,旗尾山第一登山口,代天宮,高雄市,旗山區,觀光局,2200,22.88076174,120.4906225
bike560,美濃溪-溪畔之旅,旗山糖廠,十全街,高雄市,美濃區,觀光局,25300,22.88165136,120.4914165
bike561,橙線-民俗之旅,中山路二段與福美路路口,福美路,高雄市,美濃區,觀光局,5100,22.88667264,120.4986155
bike562,紅線-古蹟之旅,福美路,民權路,高雄市,美濃區,觀光局,4700,22.905432,120.530105
bike563,藍線-水圳之旅,福美路,竹子門發電廠,高雄市,美濃區,觀光局,9800,22.90541507,120.5301452
bike564,104年度山林區森林自行車道工程(憶林街-永齡有機農場入口),憶林街,永齡有機農場入口,高雄市,杉林區,觀光局,600,22.97205869,120.5437868
bike565,104年度山林區森林自行車道工程(大愛路-葫蘆藝術文化村),大愛路,葫蘆藝術文化村,高雄市,杉林區,觀光局,4000,22.97203052,120.5437994
bike566,黃線-親水之旅,泰安路,民族路,高雄市,美濃區,觀光局,6200,22.91120305,120.5519056
bike567,綠線-文學之旅,廣九街,黃蝶翠谷,高雄市,美濃區,觀光局,4000,22.91549195,120.5652094
bike568,紫線-鄉土之旅,廣九街,中華路,高雄市,美濃區,觀光局,7200,22.91760672,120.5702734
bike569,茂林越野自行車道(毀),,,高雄市,,,,22.88428083,120.6684852
bike570,環島1號線(台5線路段),明德二路中油加油站,新北市基隆市界,基隆市,七堵區,公路總局第一區養護工程處基隆工務段,2000,25.071661,121.688886
bike571,外木山自行車與行人共用道,外木山停車場,大武崙澳精神堡壘,基隆市,安樂區,交通旅遊處觀光行政科,1300,25.164194,121.708248
bike572,基隆市自行車道濱海環台路網串聯工程,八斗子火車站、湖海路一段和協和街交叉口,興隆街,基隆市,中正區、中山區、仁愛區、暖暖區,交通處交通工程科,22300,25.13043,121.742236
bike573,基隆市自行車道濱海支線路網,中正里基隆二信旁巷弄,潮境公園,基隆市,中正區,觀光及城市行銷處、工務處養護工程科、產業發展處,6000,25.144327,121.789067
bike574,環島1路線編號055,東勢街,明德二路,基隆市,暖暖區、七堵區,交通處交通工程科,9100,25.089939,121.741369
bike575,望海藍帶鐵馬景觀棧道串聯工程,1.平浪橋前廣場、2.海科館休憩平台前廣場,1.海巡署安檢所前方、2.八斗子車站前方棕櫚樹區,基隆市,中正區,觀光及城市行銷處,450,25.139981,121.801668
bike576,北寧路自行車道,八斗子公園,平浪橋,基隆市,中正區,海科館,1000,25.14213252,121.8020569
bike577,108口湖鄉舊台糖鐵路自行車道,null,文昌路84巷口,雲林縣,口湖鄉,口湖鄉公所,485,23.584508,120.186599
bike578,107口湖鄉舊台糖鐵路自行車道,雲143線口,null,雲林縣,口湖鄉,口湖鄉公所,1011,23.588008,120.189519
bike579,環島串連海線-雲林縣麥寮至口湖段,麥寮西濱大橋,水林松山大橋,雲林縣,麥寮鄉、台西鄉、口湖鄉、四湖鄉、水林鄉,雲林縣政府,51560,23.80973869,120.2821222
bike580,北港鐵馬道,生產路與大同路路口,博愛路與河堤道路路口,雲林縣,北港鎮,雲林縣北港鎮公所,2100,23.57353088,120.2956474
bike581,台糖舊鐵道,三民路,泰安路,雲林縣,褒忠鄉,褒忠鄉公所,1700,23.692713,120.302954
bike582,北港鐵馬道,生產路與大同路口,博愛路與河堤道路路口,雲林縣,北港鎮,北港鎮公所,2100,23.57173293,120.3050018
bike583,元長鄉自行車道,3K+460,4K+320,雲林縣,元長鄉,元長鄉公所,800,23.642962,120.317137
bike584,土庫鎮自行車道,建國路農會旁,過高鐵橋下農路,雲林縣,土庫鎮,土庫鎮公所,4116,23.67953777,120.3975792
bike585,八田櫻花鐵馬道,光復路中正橋,光復路中正橋,雲林縣,虎尾鎮,虎尾鎮公所,2040,23.70455101,120.416948
bike586,雙鐵綠廊,斗南火車站,虎尾鎮雲林監獄旁,雲林縣,斗南鎮,斗南鎮公所,7000,23.67071855,120.4344302
